id,defective,model,state
MCQ_18_5,no,Gemini-3.1-Pro,both
MCQ_18_4,no,Gemini-3.1-Pro,both
MCQ_18_7,no,Gemini-3.1-Pro,both
MCQ_18_8,no,Gemini-3.1-Pro,both
MCQ_18_6,no,Gemini-3.1-Pro,both
MCQ_18_9,no,Gemini-3.1-Pro,both
MCQ_18_10,no,Gemini-3.1-Pro,both
MCQ_19_4,no,Gemini-3.1-Pro,both
MCQ_19_1,no,Gemini-3.1-Pro,both
MCQ_19_5,no,Gemini-3.1-Pro,both
MCQ_19_2,no,Gemini-3.1-Pro,both
MCQ_19_3,no,Gemini-3.1-Pro,both
MCQ_19_7,no,Gemini-3.1-Pro,both
MCQ_19_9,no,Gemini-3.1-Pro,both
MCQ_19_8,no,Gemini-3.1-Pro,both
MCQ_19_6,no,Gemini-3.1-Pro,both
MCQ_19_10,no,Gemini-3.1-Pro,both
MCQ_20_1,no,Gemini-3.1-Pro,both
MCQ_20_2,no,Gemini-3.1-Pro,both
MCQ_20_5,no,Gemini-3.1-Pro,both
MCQ_20_3,no,Gemini-3.1-Pro,both
MCQ_20_4,no,Gemini-3.1-Pro,both
MCQ_20_6,no,Gemini-3.1-Pro,both
MCQ_20_7,no,Gemini-3.1-Pro,both
MCQ_20_9,no,Gemini-3.1-Pro,both
MCQ_20_8,no,Gemini-3.1-Pro,both
MCQ_20_10,no,Gemini-3.1-Pro,both
MCQ_21_1,no,Gemini-3.1-Pro,both
MCQ_21_3,no,Gemini-3.1-Pro,both
MCQ_21_2,no,Gemini-3.1-Pro,both
MCQ_21_4,no,Gemini-3.1-Pro,both
MCQ_21_5,no,Gemini-3.1-Pro,both
MCQ_21_6,no,Gemini-3.1-Pro,both
MCQ_21_7,no,Gemini-3.1-Pro,both
MCQ_21_9,no,Gemini-3.1-Pro,both
MCQ_21_10,no,Gemini-3.1-Pro,both
MCQ_21_8,no,Gemini-3.1-Pro,both
MCQ_22_1,yes,Gemini-3.1-Pro,both
MCQ_22_2,yes,Gemini-3.1-Pro,option-only
MCQ_22_4,yes,Gemini-3.1-Pro,neither
MCQ_22_3,yes,Gemini-3.1-Pro,neither
MCQ_22_5,yes,Gemini-3.1-Pro,neither
MCQ_22_6,yes,Gemini-3.1-Pro,both
MCQ_23_1,no,Gemini-3.1-Pro,both
MCQ_22_7,yes,Gemini-3.1-Pro,neither
MCQ_22_8,yes,Gemini-3.1-Pro,option-only
MCQ_22_10,yes,Gemini-3.1-Pro,option-only
MCQ_22_9,yes,Gemini-3.1-Pro,option-only
MCQ_23_3,no,Gemini-3.1-Pro,both
MCQ_23_2,no,Gemini-3.1-Pro,both
MCQ_23_4,no,Gemini-3.1-Pro,both
MCQ_23_6,no,Gemini-3.1-Pro,both
MCQ_23_5,no,Gemini-3.1-Pro,both
MCQ_23_7,no,Gemini-3.1-Pro,both
MCQ_23_8,no,Gemini-3.1-Pro,both
MCQ_23_9,no,Gemini-3.1-Pro,both
MCQ_23_10,no,Gemini-3.1-Pro,both
MCQ_24_1,yes,Gemini-3.1-Pro,option-only
MCQ_24_3,yes,Gemini-3.1-Pro,option-only
MCQ_24_2,yes,Gemini-3.1-Pro,option-only
MCQ_24_4,yes,Gemini-3.1-Pro,option-only
MCQ_24_5,yes,Gemini-3.1-Pro,option-only
MCQ_24_6,yes,Gemini-3.1-Pro,option-only
MCQ_24_7,yes,Gemini-3.1-Pro,option-only
MCQ_24_8,yes,Gemini-3.1-Pro,option-only
MCQ_25_2,no,Gemini-3.1-Pro,option-only
MCQ_25_1,no,Gemini-3.1-Pro,option-only
MCQ_24_9,yes,Gemini-3.1-Pro,option-only
MCQ_24_10,yes,Gemini-3.1-Pro,option-only
MCQ_25_3,no,Gemini-3.1-Pro,option-only
MCQ_25_4,no,Gemini-3.1-Pro,option-only
MCQ_25_5,no,Gemini-3.1-Pro,option-only
MCQ_25_6,no,Gemini-3.1-Pro,option-only
MCQ_25_7,no,Gemini-3.1-Pro,option-only
MCQ_25_8,no,Gemini-3.1-Pro,option-only
MCQ_25_9,no,Gemini-3.1-Pro,option-only
MCQ_25_10,no,Gemini-3.1-Pro,option-only
MCQ_26_1,no,Gemini-3.1-Pro,both
MCQ_26_2,no,Gemini-3.1-Pro,both
MCQ_26_3,no,Gemini-3.1-Pro,both
MCQ_26_5,no,Gemini-3.1-Pro,both
MCQ_26_4,no,Gemini-3.1-Pro,both
MCQ_26_6,no,Gemini-3.1-Pro,both
MCQ_26_7,no,Gemini-3.1-Pro,both
MCQ_26_10,no,Gemini-3.1-Pro,both
MCQ_26_8,no,Gemini-3.1-Pro,both
MCQ_26_9,no,Gemini-3.1-Pro,both
MCQ_27_1,yes,Gemini-3.1-Pro,option-only
MCQ_27_2,yes,Gemini-3.1-Pro,option-only
MCQ_27_5,yes,Gemini-3.1-Pro,option-only
MCQ_27_4,yes,Gemini-3.1-Pro,option-only
MCQ_27_3,yes,Gemini-3.1-Pro,option-only
MCQ_27_8,yes,Gemini-3.1-Pro,option-only
MCQ_27_7,yes,Gemini-3.1-Pro,option-only
MCQ_28_1,no,Gemini-3.1-Pro,both
MCQ_27_6,yes,Gemini-3.1-Pro,option-only
MCQ_28_2,no,Gemini-3.1-Pro,both
MCQ_27_9,yes,Gemini-3.1-Pro,option-only
MCQ_28_3,no,Gemini-3.1-Pro,both
MCQ_28_4,no,Gemini-3.1-Pro,both
MCQ_27_10,yes,Gemini-3.1-Pro,option-only
MCQ_28_6,no,Gemini-3.1-Pro,both
MCQ_28_5,no,Gemini-3.1-Pro,both
MCQ_28_7,no,Gemini-3.1-Pro,both
MCQ_28_8,no,Gemini-3.1-Pro,both
MCQ_28_9,no,Gemini-3.1-Pro,both
MCQ_28_10,no,Gemini-3.1-Pro,both
MCQ_29_1,no,Gemini-3.1-Pro,both
MCQ_29_2,no,Gemini-3.1-Pro,both
MCQ_29_3,no,Gemini-3.1-Pro,both
MCQ_29_4,no,Gemini-3.1-Pro,both
MCQ_29_6,no,Gemini-3.1-Pro,both
MCQ_29_5,no,Gemini-3.1-Pro,both
MCQ_29_8,no,Gemini-3.1-Pro,both
MCQ_29_7,no,Gemini-3.1-Pro,both
MCQ_29_9,no,Gemini-3.1-Pro,both
MCQ_29_10,no,Gemini-3.1-Pro,both
MCQ_30_1,yes,Gemini-3.1-Pro,option-only
MCQ_30_3,yes,Gemini-3.1-Pro,neither
MCQ_30_4,yes,Gemini-3.1-Pro,neither
MCQ_30_2,yes,Gemini-3.1-Pro,neither
MCQ_30_5,yes,Gemini-3.1-Pro,option-only
MCQ_30_7,yes,Gemini-3.1-Pro,neither
MCQ_30_6,yes,Gemini-3.1-Pro,neither
MCQ_30_9,yes,Gemini-3.1-Pro,option-only
MCQ_30_8,yes,Gemini-3.1-Pro,option-only
MCQ_30_10,yes,Gemini-3.1-Pro,neither
MCQ_31_1,yes,Gemini-3.1-Pro,option-only
MCQ_31_3,yes,Gemini-3.1-Pro,option-only
MCQ_31_2,yes,Gemini-3.1-Pro,option-only
MCQ_31_4,yes,Gemini-3.1-Pro,option-only
MCQ_31_5,yes,Gemini-3.1-Pro,option-only
MCQ_31_6,yes,Gemini-3.1-Pro,option-only
MCQ_31_8,yes,Gemini-3.1-Pro,option-only
MCQ_31_7,yes,Gemini-3.1-Pro,option-only
MCQ_31_9,yes,Gemini-3.1-Pro,option-only
MCQ_31_10,yes,Gemini-3.1-Pro,option-only
MCQ_32_1,no,Gemini-3.1-Pro,both
MCQ_32_2,no,Gemini-3.1-Pro,both
MCQ_32_3,no,Gemini-3.1-Pro,both
MCQ_32_4,no,Gemini-3.1-Pro,both
MCQ_32_5,no,Gemini-3.1-Pro,both
MCQ_32_6,no,Gemini-3.1-Pro,both
MCQ_32_9,no,Gemini-3.1-Pro,both
MCQ_32_7,no,Gemini-3.1-Pro,both
MCQ_32_8,no,Gemini-3.1-Pro,both
MCQ_32_10,no,Gemini-3.1-Pro,both
MCQ_34_2,no,Gemini-3.1-Pro,option-only
MCQ_34_4,no,Gemini-3.1-Pro,both
MCQ_34_1,no,Gemini-3.1-Pro,both
MCQ_34_3,no,Gemini-3.1-Pro,option-only
MCQ_34_7,no,Gemini-3.1-Pro,option-only
MCQ_34_6,no,Gemini-3.1-Pro,both
MCQ_34_9,no,Gemini-3.1-Pro,option-only
MCQ_34_5,no,Gemini-3.1-Pro,both
MCQ_34_10,no,Gemini-3.1-Pro,option-only
MCQ_35_1,no,Gemini-3.1-Pro,both
MCQ_35_2,no,Gemini-3.1-Pro,both
MCQ_35_3,no,Gemini-3.1-Pro,both
MCQ_34_8,no,Gemini-3.1-Pro,option-only
MCQ_35_5,no,Gemini-3.1-Pro,both
MCQ_35_4,no,Gemini-3.1-Pro,both
MCQ_35_6,no,Gemini-3.1-Pro,both
MCQ_35_8,no,Gemini-3.1-Pro,both
MCQ_35_7,no,Gemini-3.1-Pro,both
MCQ_35_10,no,Gemini-3.1-Pro,both
MCQ_35_9,no,Gemini-3.1-Pro,both
MCQ_36_1,no,Gemini-3.1-Pro,code-only
MCQ_36_2,no,Gemini-3.1-Pro,code-only
MCQ_36_3,no,Gemini-3.1-Pro,both
MCQ_36_4,no,Gemini-3.1-Pro,both
MCQ_36_5,no,Gemini-3.1-Pro,code-only
MCQ_36_6,no,Gemini-3.1-Pro,both
MCQ_36_8,no,Gemini-3.1-Pro,code-only
MCQ_36_7,no,Gemini-3.1-Pro,both
MCQ_36_9,no,Gemini-3.1-Pro,both
MCQ_37_1,yes,Gemini-3.1-Pro,option-only
MCQ_37_2,yes,Gemini-3.1-Pro,option-only
MCQ_36_10,no,Gemini-3.1-Pro,both
MCQ_37_3,yes,Gemini-3.1-Pro,neither
MCQ_37_4,yes,Gemini-3.1-Pro,option-only
MCQ_37_5,yes,Gemini-3.1-Pro,neither
MCQ_37_7,yes,Gemini-3.1-Pro,neither
MCQ_37_6,yes,Gemini-3.1-Pro,neither
MCQ_37_8,yes,Gemini-3.1-Pro,neither
MCQ_37_10,yes,Gemini-3.1-Pro,option-only
MCQ_37_9,yes,Gemini-3.1-Pro,neither
MCQ_38_1,yes,Gemini-3.1-Pro,option-only
MCQ_38_3,yes,Gemini-3.1-Pro,option-only
MCQ_38_2,yes,Gemini-3.1-Pro,option-only
MCQ_38_4,yes,Gemini-3.1-Pro,option-only
MCQ_38_5,yes,Gemini-3.1-Pro,option-only
MCQ_38_6,yes,Gemini-3.1-Pro,option-only
MCQ_38_7,yes,Gemini-3.1-Pro,option-only
MCQ_38_8,yes,Gemini-3.1-Pro,option-only
MCQ_39_1,yes,Gemini-3.1-Pro,option-only
MCQ_38_9,yes,Gemini-3.1-Pro,option-only
MCQ_38_10,yes,Gemini-3.1-Pro,option-only
MCQ_39_4,yes,Gemini-3.1-Pro,option-only
MCQ_39_2,yes,Gemini-3.1-Pro,option-only
MCQ_39_3,yes,Gemini-3.1-Pro,option-only
MCQ_39_5,yes,Gemini-3.1-Pro,both
MCQ_39_6,yes,Gemini-3.1-Pro,option-only
MCQ_39_7,yes,Gemini-3.1-Pro,both
MCQ_39_10,yes,Gemini-3.1-Pro,option-only
MCQ_39_8,yes,Gemini-3.1-Pro,both
MCQ_40_1,no,Gemini-3.1-Pro,both
MCQ_39_9,yes,Gemini-3.1-Pro,option-only
MCQ_40_2,no,Gemini-3.1-Pro,both
MCQ_40_4,no,Gemini-3.1-Pro,both
MCQ_40_3,no,Gemini-3.1-Pro,both
MCQ_40_5,no,Gemini-3.1-Pro,both
MCQ_40_7,no,Gemini-3.1-Pro,both
MCQ_40_8,no,Gemini-3.1-Pro,both
MCQ_40_9,no,Gemini-3.1-Pro,both
MCQ_40_6,no,Gemini-3.1-Pro,both
MCQ_41_1,no,Gemini-3.1-Pro,both
MCQ_40_10,no,Gemini-3.1-Pro,both
MCQ_41_2,no,Gemini-3.1-Pro,both
MCQ_41_3,no,Gemini-3.1-Pro,both
MCQ_41_6,no,Gemini-3.1-Pro,both
MCQ_41_7,no,Gemini-3.1-Pro,code-only
MCQ_41_4,no,Gemini-3.1-Pro,both
MCQ_41_5,no,Gemini-3.1-Pro,code-only
MCQ_41_8,no,Gemini-3.1-Pro,both
MCQ_41_10,no,Gemini-3.1-Pro,both
MCQ_41_9,no,Gemini-3.1-Pro,both
MCQ_42_2,no,Gemini-3.1-Pro,both
MCQ_42_1,no,Gemini-3.1-Pro,both
MCQ_42_3,no,Gemini-3.1-Pro,both
MCQ_42_4,no,Gemini-3.1-Pro,both
MCQ_42_5,no,Gemini-3.1-Pro,both
MCQ_42_6,no,Gemini-3.1-Pro,both
MCQ_42_7,no,Gemini-3.1-Pro,both
MCQ_42_8,no,Gemini-3.1-Pro,both
MCQ_42_10,no,Gemini-3.1-Pro,both
MCQ_42_9,no,Gemini-3.1-Pro,both
MCQ_45_1,no,Gemini-3.1-Pro,both
MCQ_45_2,no,Gemini-3.1-Pro,both
MCQ_45_3,no,Gemini-3.1-Pro,both
MCQ_45_4,no,Gemini-3.1-Pro,both
MCQ_45_5,no,Gemini-3.1-Pro,both
MCQ_45_6,no,Gemini-3.1-Pro,both
MCQ_45_8,no,Gemini-3.1-Pro,both
MCQ_45_7,no,Gemini-3.1-Pro,both
MCQ_46_1,no,Gemini-3.1-Pro,both
MCQ_45_9,no,Gemini-3.1-Pro,both
MCQ_46_2,no,Gemini-3.1-Pro,both
MCQ_46_3,no,Gemini-3.1-Pro,both
MCQ_46_4,no,Gemini-3.1-Pro,both
MCQ_45_10,no,Gemini-3.1-Pro,both
MCQ_46_7,no,Gemini-3.1-Pro,both
MCQ_46_5,no,Gemini-3.1-Pro,both
MCQ_46_6,no,Gemini-3.1-Pro,both
MCQ_46_8,no,Gemini-3.1-Pro,both
MCQ_46_9,no,Gemini-3.1-Pro,both
MCQ_46_10,no,Gemini-3.1-Pro,both
MCQ_47_1,no,Gemini-3.1-Pro,both
MCQ_47_2,no,Gemini-3.1-Pro,both
MCQ_47_3,no,Gemini-3.1-Pro,both
MCQ_47_4,no,Gemini-3.1-Pro,both
MCQ_47_5,no,Gemini-3.1-Pro,both
MCQ_47_6,no,Gemini-3.1-Pro,both
MCQ_47_7,no,Gemini-3.1-Pro,both
MCQ_47_8,no,Gemini-3.1-Pro,both
MCQ_47_10,no,Gemini-3.1-Pro,both
MCQ_47_9,no,Gemini-3.1-Pro,both
MCQ_48_2,no,Gemini-3.1-Pro,option-only
MCQ_48_1,no,Gemini-3.1-Pro,both
MCQ_48_3,no,Gemini-3.1-Pro,option-only
MCQ_48_5,no,Gemini-3.1-Pro,option-only
MCQ_48_4,no,Gemini-3.1-Pro,both
MCQ_48_6,no,Gemini-3.1-Pro,both
MCQ_48_7,no,Gemini-3.1-Pro,option-only
MCQ_48_8,no,Gemini-3.1-Pro,option-only
MCQ_48_10,no,Gemini-3.1-Pro,option-only
MCQ_48_9,no,Gemini-3.1-Pro,option-only
MCQ_49_1,no,Gemini-3.1-Pro,both
MCQ_49_2,no,Gemini-3.1-Pro,both
MCQ_49_3,no,Gemini-3.1-Pro,both
MCQ_49_4,no,Gemini-3.1-Pro,both
MCQ_49_5,no,Gemini-3.1-Pro,both
MCQ_49_6,no,Gemini-3.1-Pro,both
MCQ_49_7,no,Gemini-3.1-Pro,both
MCQ_49_8,no,Gemini-3.1-Pro,both
MCQ_49_9,no,Gemini-3.1-Pro,both
MCQ_49_10,no,Gemini-3.1-Pro,both
MCQ_50_2,yes,Gemini-3.1-Pro,both
MCQ_50_1,yes,Gemini-3.1-Pro,both
MCQ_50_3,yes,Gemini-3.1-Pro,both
MCQ_50_5,yes,Gemini-3.1-Pro,both
MCQ_50_4,yes,Gemini-3.1-Pro,both
MCQ_50_6,yes,Gemini-3.1-Pro,both
MCQ_50_7,yes,Gemini-3.1-Pro,both
MCQ_50_8,yes,Gemini-3.1-Pro,both
MCQ_50_9,yes,Gemini-3.1-Pro,both
MCQ_50_10,yes,Gemini-3.1-Pro,both
MCQ_51_2,no,Gemini-3.1-Pro,option-only
MCQ_51_3,no,Gemini-3.1-Pro,option-only
MCQ_51_1,no,Gemini-3.1-Pro,option-only
MCQ_51_4,no,Gemini-3.1-Pro,option-only
MCQ_51_5,no,Gemini-3.1-Pro,option-only
MCQ_51_6,no,Gemini-3.1-Pro,option-only
MCQ_51_7,no,Gemini-3.1-Pro,option-only
MCQ_51_8,no,Gemini-3.1-Pro,option-only
MCQ_51_9,no,Gemini-3.1-Pro,option-only
MCQ_51_10,no,Gemini-3.1-Pro,option-only
MCQ_52_1,yes,Gemini-3.1-Pro,option-only
MCQ_52_3,yes,Gemini-3.1-Pro,option-only
MCQ_52_4,yes,Gemini-3.1-Pro,option-only
MCQ_52_2,yes,Gemini-3.1-Pro,option-only
MCQ_52_5,yes,Gemini-3.1-Pro,option-only
MCQ_52_6,yes,Gemini-3.1-Pro,option-only
MCQ_52_7,yes,Gemini-3.1-Pro,option-only
MCQ_52_9,yes,Gemini-3.1-Pro,option-only
MCQ_55_1,no,Gemini-3.1-Pro,both
MCQ_55_2,no,Gemini-3.1-Pro,both
MCQ_55_3,no,Gemini-3.1-Pro,both
MCQ_52_10,yes,Gemini-3.1-Pro,option-only
MCQ_55_4,no,Gemini-3.1-Pro,both
MCQ_55_5,no,Gemini-3.1-Pro,both
MCQ_55_6,no,Gemini-3.1-Pro,both
MCQ_55_7,no,Gemini-3.1-Pro,both
MCQ_55_8,no,Gemini-3.1-Pro,both
MCQ_55_10,no,Gemini-3.1-Pro,both
MCQ_55_9,no,Gemini-3.1-Pro,both
MCQ_56_1,yes,Gemini-3.1-Pro,both
MCQ_56_2,yes,Gemini-3.1-Pro,both
MCQ_56_4,yes,Gemini-3.1-Pro,both
MCQ_56_3,yes,Gemini-3.1-Pro,both
MCQ_56_5,yes,Gemini-3.1-Pro,both
MCQ_56_6,yes,Gemini-3.1-Pro,both
MCQ_56_8,yes,Gemini-3.1-Pro,both
MCQ_56_7,yes,Gemini-3.1-Pro,both
MCQ_56_9,yes,Gemini-3.1-Pro,both
MCQ_56_10,yes,Gemini-3.1-Pro,both
MCQ_59_2,no,Gemini-3.1-Pro,option-only
MCQ_59_1,no,Gemini-3.1-Pro,option-only
MCQ_52_8,yes,Gemini-3.1-Pro,option-only
MCQ_59_3,no,Gemini-3.1-Pro,option-only
MCQ_59_4,no,Gemini-3.1-Pro,option-only
MCQ_59_5,no,Gemini-3.1-Pro,option-only
MCQ_59_6,no,Gemini-3.1-Pro,option-only
MCQ_59_7,no,Gemini-3.1-Pro,option-only
MCQ_59_8,no,Gemini-3.1-Pro,option-only
MCQ_59_9,no,Gemini-3.1-Pro,option-only
MCQ_59_10,no,Gemini-3.1-Pro,option-only
MCQ_60_1,no,Gemini-3.1-Pro,both
MCQ_60_3,no,Gemini-3.1-Pro,option-only
MCQ_60_2,no,Gemini-3.1-Pro,option-only
MCQ_60_5,no,Gemini-3.1-Pro,neither
MCQ_60_4,no,Gemini-3.1-Pro,neither
MCQ_60_7,no,Gemini-3.1-Pro,option-only
MCQ_60_6,no,Gemini-3.1-Pro,neither
MCQ_60_8,no,Gemini-3.1-Pro,neither
MCQ_60_10,no,Gemini-3.1-Pro,option-only
MCQ_60_9,no,Gemini-3.1-Pro,neither
MCQ_61_2,no,Gemini-3.1-Pro,both
MCQ_61_1,no,Gemini-3.1-Pro,both
MCQ_61_4,no,Gemini-3.1-Pro,both
MCQ_61_5,no,Gemini-3.1-Pro,both
MCQ_61_6,no,Gemini-3.1-Pro,both
MCQ_61_3,no,Gemini-3.1-Pro,both
